"caseId","Residence Own house/aprt","Disabled or Ill","Highest education completed","Present work situation","Current job prestige scores","Current occupation satisfaction","Present income satisfaction","Respodent identity importance","Respodent detention/jail/prison","Country feels like home","Respondent health","Has Children","Average English Skill","MariageStatus","successIndex","desired.job.prestige.score-1991","GPA","Parent.SES.index-1991","English.Knowledge-1991","Private.school-1991","Houshold.guardians-1991","number.household.members-1991","Sex","Respondent.US.stay.length-1991","Respondent job preference-1991","felt discriminated-1991","Depression-1991","Self-esteem-1991","education expectation-1991","Hours/day on HW-1991","Good grades importance-1991","Reason Dad came to US","Reason Mom came to US","Present living situation-1995","number people living w/respondent-1995","Economic situation/3 year ago-1995","Parent divorced/separated past year-1995","Parent re/married past year-1995","Parent lost job/past year-1995","Respondent ill/disabled past year-1995","Parent died past year-1995","Respondent sex-1995","Respodent US Citizenship-1995","Respondent job classification-1995","Don't feel save at school-1995","attainable education level-1995","Paren education preference-1995","Respondent hour studying-1995","Good grade importance-1995","English Knowledge-1995","Depression-1995","Self-esteem-1995","Familism index-1995","Family cohesion-1995","GPA-1995","Dropped out by 1995","Percent daily school attendance-1995","Private school-1995"
1328,0,1,2,8,34,5,4,3,1,1,3,0,3,0,18.835,51,2.8,-0.38,3.75,0,1,8,1,4,4,1,1.25,3.4,4,2,1,3,3,1,6,3,2,2,2,2,2,1,2,4,4,4,5,3,1,3,1,3.9,1.67,4.33,2.7,0,95.5,0
1340,0,1,2,8,42,4,3,1,1,1,5,0,4,0,22.505,57,3.33,0.3,4,0,3,3,2,1,13,1,2.5,3.4,4,2,1,2,2,3,5,3,2,2,2,2,2,2,1,11,3,4,1,4,3,4,3.75,2.6,1,1.33,3.33,0,94.3,0
1341,0,1,3,8,37,4,4,1,1,1,4,1,4,1,20.555,78,2.9,0.3,4,0,1,4,2,2,10,1,1.5,3.5,5,4,1,9,3,1,4,1,2,2,1,2,2,2,1,5,3,5,5,3,2,4,3.25,3.8,1.67,5,2.3,0,95.5,0
1344,0,1,3,8,33,4,3,1,1,1,5,0,3.5,0,18.473,60,2.43,0.18,4,0,1,7,1,2,6,1,2,2.5,3,4,1,1,1,1,3,4,2,2,1,2,2,1,1,6,2,4,5,2,2,4,2.5,3.7,2.33,2.33,2.42,0,96,0
1350,1,1,2,8,55,5,4,2,1,1,4,0,4,0,28.699,53,1.5,-0.79,4,0,4,2,2,1,2,2,1.75,3.5,4,3,2,1,1,4,2,2,2,2,2,2,1,2,1,8,2,5,5,3,2,4,2,3.2,1.67,3.33,1.5,0,90.2,0
1353,0,1,2,7,34,4,4,3,1,1,4,0,4,0,18.9,78,2.7,-0.62,4,0,1,3,1,1,12,2,1.75,2.6,4,2,1,9,3,1,4,3,2,2,1,2,2,1,1,7,4,5,5,6,2,4,1.25,3.6,2.33,4.67,1.45,0,95.5,0
1356,0,1,6,8,70,5,4,2,1,1,5,0,4,0,36.37,72,3,-0.09,4,0,1,5,1,3,12,2,1,3.8,4,2,1,2,2,1,5,2,2,2,2,2,2,1,2,7,4,5,5,2,1,4,1.25,3.6,2.33,4,3.06,0,91.3,0
1360,1,1,4,8,38,3,4,3,1,1,4,0,4,1,21.22,62,2.9,-0.25,4,0,1,6,2,2,8,2,1,3.8,5,3,1,1,1,1,6,1,2,2,2,2,2,2,1,10,3,5,5,3,1,4,1.5,3.6,1.33,5,3.15,0,92.6,0
1366,0,0,7,7,39,4,4,2,1,1,5,0,4,0,22.136,78,3.5,0.21,4,0,5,2,2,1,10,1,1.75,2.8,5,3,1,2,2,5,1,3,2,2,2,2,2,2,1,10,4,5,5,2,1,4,1.75,3.6,1,3,3.5,0,92.5,0
1377,0,1,7,8,49,3,1,3,1,1,5,0,4,0,26.546,78,4.5,0.39,4,0,1,5,1,1,6,1,3.75,1.6,5,6,1,1,3,1,4,4,2,2,2,2,2,1,1,6,4,4,4,6,1,4,3.5,2.8,1.67,2,4.5,0,92.5,0
1381,0,0,2,8,42,4,3,3,1,1,5,0,4,0,22.568,54,2.75,0.72,4,0,1,7,2,3,10,1,1.75,4,4,3,1,2,2,1,6,2,2,2,1,2,2,2,2,5,3,5,5,3,1,3.5,1,3.4,3,3.67,2.22,0,92.5,0
1382,0,1,5,8,52,5,4,2,1,1,4,0,4,1,27.922,66,2.67,0.47,4,0,1,6,2,3,12,2,1.75,3.7,4,1,3,1,1,1,4,1,2,2,2,2,2,2,2,11,4,4,5,2,3,4,2,3.8,2,5,2.26,0,91.3,0
1383,0,1,4,7,48,4,3,2,1,1,4,0,4,0,25.585,54,2.83,0.72,4,0,1,4,2,1,6,2,1.25,4,5,4,1,2,2,1,4,3,2,2,2,2,2,2,1,5,4,5,5,4,1,4,1,4,2.33,4,1.88,0,91.3,0
1399,0,1,5,7,22,5,3,3,1,1,5,0,4,0,14.017,78,2.75,-0.31,4,0,1,2,2,1,12,2,1,3.7,5,2,1,1,3,1,2,1,2,2,2,1,2,2,1,11,4,5,5,2,1,4,1,4,1.33,4.67,2.15,0,92.5,0
1401,0,1,6,8,55,1,1,1,1,1,4,0,4,0,28.801,78,3.33,0.32,4,0,1,4,2,1,10,2,1,3.7,5,1,2,2,2,1,4,2,2,2,2,2,2,2,1,10,2,5,4,6,1,4,1.75,3.9,1.33,4.33,3.26,0,92.5,0
1402,0,1,6,8,51,5,5,2,1,1,5,0,4,0,27.737,56,2.33,0.24,4,0,1,4,1,1,11,1,1,4,4,1,1,1,1,1,4,2,2,2,2,2,2,1,1,7,3,5,5,2,1,4,1.25,4,2,4.67,2.64,0,91,0
1404,0,1,6,8,56,4,4,1,1,1,4,0,4,0,29.776,78,3.08,1.75,4,0,1,2,1,2,10,2,1,4,5,6,1,2,2,1,3,3,2,2,1,2,2,1,2,10,4,5,5,6,1,4,1,3.8,1.67,3.67,3.89,0,91.3,0
1407,0,1,2,8,35,5,4,3,1,1,5,0,4,1,19.609,48,1.58,0.81,4,0,3,4,1,2,8,2,1.25,3.4,3,2,1,1,3,3,5,2,2,2,2,2,2,1,2,4,4,2,2,1,2,4,1,4,1.67,5,1.47,0,88.9,0
1408,0,1,5,7,50,5,3,3,1,1,4,0,4,0,26.834,78,2.42,0.93,4,0,1,5,2,1,10,2,1.5,3.1,4,6,1,2,2,1,4,3,2,2,2,2,2,2,1,11,1,5,4,6,1,4,1,3.6,2.67,5,2.42,0,92.5,0
1409,0,1,2,8,34,2,1,1,0,1,4,0,3,0,17.797,51,2.08,-1.42,3,0,1,8,1,3,4,2,1,2.3,3,1,1,7,3,3,5,3,2,2,2,1,2,1,2,8,2,4,5,2,1,3,1.5,1.7,3,2.33,2.08,0,90.2,0
1416,0,1,4,7,50,4,2,3,1,1,3,0,4,0,26.429,65,2.3,0.13,4,0,1,5,1,1,7,2,1,3.6,4,5,1,1,3,1,6,2,2,2,2,2,2,1,1,7,3,4,5,3,1,4,1.5,3.5,2,3,1.86,0,92.6,0
1417,0,1,2,8,48,4,5,2,1,1,3,0,3.25,0,25.2655,45,1.33,-0.3,2.5,0,1,5,1,2,14,2,1.5,2.9,5,1,1,1,1,1,3,3,2,2,2,2,2,1,2,6,3,3,1,2,1,3,1,2.8,2,3.33,1.43,0,92.1,0
1418,0,1,5,8,43,4,4,2,1,1,5,0,4,0,23.695,78,2.4,-0.91,1,0,1,3,1,4,10,1,1.5,2.6,5,2,1,4,3,1,3,1,2,2,1,2,2,1,2,10,4,4,5,3,1,2.75,1,3.4,1.67,4.67,2.25,0,93,0
1422,0,1,7,8,60,4,4,3,1,1,4,0,4,0,31.908,57,3.7,0.06,3.5,0,1,4,2,1,8,2,1,3.5,5,4,1,3,3,1,4,3,2,2,1,2,2,2,1,8,3,4,4,2,1,4,1,4,1.33,4,4,0,92.1,0
1425,0,1,2,8,49,4,2,3,1,1,5,0,4,0,25.728,51,2.6,-0.82,4,0,1,4,2,1,4,1,1,2.6,4,1,2,9,1,1,4,2,2,2,2,2,2,2,1,8,2,4,5,2,2,4,1.25,2.4,2,3.67,1.73,0,92.6,0
1427,0,1,5,7,34,3,2,2,1,1,5,0,4,0,19.22,72,3.3,0.7,2.75,0,1,4,2,4,12,1,2,2.1,3,3,1,1,1,1,4,2,2,2,2,2,2,2,2,8,2,5,5,2,1,3.25,2,2.7,1.33,4.33,3.33,0,94.7,0
1428,0,1,4,7,42,4,2,3,1,0,4,0,3.75,0,22.6935,45,3.17,0.33,3.75,0,2,3,2,3,13,1,1.25,3.2,4,2,1,1,1,1,4,3,2,2,2,2,2,2,2,8,2,5,5,1,2,4,1.25,3.1,1.33,3.67,3.17,0,94.3,0
1439,0,1,7,7,78,4,3,3,1,1,4,0,4,0,39.998,78,4.33,0.46,4,0,1,3,1,2,10,2,1.25,3.8,5,4,1,2,2,1,3,2,2,2,2,2,2,1,1,10,3,5,5,5,1,4,1.75,3.4,1,4.67,4.41,0,91.3,0
1446,0,1,6,8,44,5,4,3,1,1,5,0,4,1,24.532,65,4.33,-0.03,4,0,1,4,1,2,12,2,1,4,5,5,1,2,2,1,4,3,2,2,2,2,2,1,1,7,4,5,5,6,1,4,1,4,1.33,5,4.72,0,91.3,0
1463,0,1,4,8,56,3,3,1,1,1,4,0,4,0,29.208,40,1.82,-0.45,4,0,1,4,2,2,11,2,2.75,1.8,5,1,3,3,3,1,3,4,2,2,2,2,2,2,2,8,4,3,5,1,3,4,3.25,1.2,1,3.67,1.82,0,92.5,0
1466,0,1,2,8,29,3,2,3,1,0,3,0,4,0,16.345,40,0.67,-0.87,4,0,1,4,1,2,4,2,1,3.7,3,1,1,1,3,1,4,1,2,2,2,2,2,1,2,3,4,4,5,2,1,4,1.75,3.4,2.67,5,1.94,0,88.5,0
1470,0,1,6,8,42,2,3,3,1,1,5,0,4,0,23.227,60,4.17,0.67,4,0,1,3,2,1,6,1,1,3.9,5,2,2,1,3,1,3,3,2,2,1,2,2,2,1,6,4,5,5,2,1,4,1.25,3.9,2.33,5,4.17,0,92.9,0
1472,0,1,2,3,49,4,4,3,1,1,4,1,4,1,25.543,71,3.3,-0.32,4,0,1,7,2,1,9,2,1.5,3.9,3,2,1,1,3,1,8,3,2,2,1,2,2,2,1,8,2,2,4,2,1,4,3.25,3.5,1.67,4.67,3.58,0,93,0
1481,0,1,6,8,50,5,5,3,1,1,5,0,4,0,27.327,56,2.8,-0.36,3,0,1,6,1,2,7,1,1.5,3.2,5,1,2,1,3,1,3,2,2,2,2,2,2,1,1,7,4,5,5,2,1,4,1.25,3.7,2.33,4.67,4,0,93.6,0
1505,1,1,6,8,42,3,1,3,1,1,4,0,4,1,23.188,78,3.33,1.08,4,0,1,4,1,1,10,1,1.25,3.6,5,2,1,2,2,1,2,2,2,2,2,2,2,1,1,10,2,5,5,4,1,4,1.5,3.8,1,4.67,3.21,0,94.3,0
1517,1,1,5,7,51,5,3,3,1,1,5,0,4,0,27.369,78,1.83,1.3,4,0,1,3,1,1,10,2,1.25,4,5,2,1,2,2,1,3,3,2,2,2,2,2,1,1,7,3,4,5,1,2,4,1.5,3.8,2,5,2.88,0,92.8,0
1526,1,1,5,8,53,1,4,3,1,1,5,0,4,0,28.123,78,2.31,0.5,4,0,1,9,1,2,10,1,1.25,3,4,2,1,2,2,1,9,1,2,2,2,2,2,1,2,10,3,4,5,2,1,4,1.25,4,2,5,2.31,0,92.5,0
1529,1,1,1,8,34,5,5,3,1,1,5,0,4,1,19.081,78,0.67,0.18,4,0,1,4,1,2,10,2,1,3.1,5,2,1,1,1,1,4,1,2,2,2,2,2,1,1,10,4,4,5,2,1,4,1,4,3,5,0.35,0,88.5,0
1531,1,1,6,8,42,3,1,3,1,1,4,0,4,1,23.188,71,3.67,0.29,4,0,1,3,2,2,9,2,2,3.3,5,2,1,2,2,1,3,2,1,2,1,2,2,2,1,9,2,5,5,3,1,4,2,3,1,1,2.71,1,91.3,0
1537,1,1,7,8,56,4,4,3,1,1,4,0,4,0,30.113,66,3.33,-0.03,4,0,1,3,2,3,10,1,1.75,3,5,2,1,2,3,1,3,2,2,2,2,2,2,2,2,5,2,5,5,5,1,4,1,4,1.33,5,2.92,0,88.9,0
1539,1,1,5,7,56,5,3,3,1,1,3,0,4,0,29.594,66,2.83,0.2,4,0,1,3,2,2,10,2,1.25,3.2,4,2,2,2,2,1,2,4,2,2,2,1,2,2,2,11,4,5,5,1,2,4,2.5,3.6,1.33,3.67,2.83,0,90.2,0
1542,1,1,3,7,39,3,2,3,1,1,5,0,4,0,21.209,56,2.5,0.77,4,0,1,5,2,1,13,1,1.75,3.3,5,2,1,2,2,1,5,2,2,2,2,2,2,2,1,11,4,4,4,3,1,4,2,3.9,1,1.67,2.15,0,91.6,0
1544,1,1,2,8,42,5,5,3,1,1,4,1,4,1,22.963,71,2.6,-0.89,4,0,1,6,2,1,9,1,3.5,2.8,4,3,1,1,1,1,6,2,2,2,2,2,2,2,1,6,4,3,4,2,1,4,2,3.8,2,4,2.08,0,93.9,0
1546,1,1,4,8,34,3,3,3,1,1,4,0,3.75,0,19.1995,62,2.58,0.93,3,0,1,5,1,3,8,1,1.25,3.8,5,2,1,4,5,1,5,2,2,2,1,2,2,1,2,11,2,3,4,1,2,3,2,3.6,3.33,3.67,2.58,0,88.9,0
1555,1,1,6,8,78,4,4,3,1,1,5,0,4,1,40.095,62,3.92,0.27,4,0,1,4,2,1,8,2,1,3.9,5,3,1,1,1,1,5,4,2,2,2,2,2,2,1,8,3,5,4,4,1,4,1.5,3.2,2.67,5,3.92,0,92.5,0
1565,0,1,5,7,26,3,4,3,1,1,5,0,3.75,0,15.7235,44,1.75,-0.78,4,0,1,5,1,1,7,2,1.5,3.9,4,2,2,1,1,1,4,2,2,2,2,2,2,1,1,7,4,5,5,2,2,3.75,1.5,3.7,2.33,4.67,2.08,0,93,0
1581,0,1,3,8,39,5,4,2,1,1,5,0,4,1,21.594,72,2.5,0.05,4,0,3,2,1,2,12,1,1,3.9,4,3,1,2,3,3,2,4,2,2,2,2,2,1,2,6,3,5,5,2,2,4,1.25,3.9,1,3.33,1.46,0,88.5,0
1587,0,1,4,8,51,3,2,3,1,1,3,0,4,0,26.888,78,2.92,-0.13,4,0,1,5,1,1,10,1,3,2.8,4,1,2,1,1,1,4,2,2,2,1,2,2,1,1,5,1,4,5,4,1,4,1,2.6,1.67,3.33,2.17,0,94.8,0
1588,0,1,5,7,26,5,5,3,1,1,5,0,3.75,0,15.9795,40,2.09,0.65,4,0,1,3,1,1,7,1,1.5,3.2,4,2,1,9,3,1,3,2,2,2,2,2,2,1,1,9,2,4,5,3,2,4,2,2.8,1.33,3.33,2.75,0,94.8,0
1592,0,1,6,7,48,4,3,3,1,1,3,0,4,0,25.995,78,3.5,0.24,4,0,1,7,2,1,10,2,1.75,2.7,4,3,2,9,1,1,5,3,2,2,2,2,2,2,1,10,3,4,5,2,2,4,1.5,2.8,2,2.33,3.5,0,94.8,0
1593,0,1,5,7,39,5,2,3,1,1,4,0,4,0,21.697,54,3.7,0.22,3.75,0,5,7,2,4,5,1,2,2.9,4,3,2,1,3,6,4,2,1,2,2,2,2,2,2,5,3,5,5,4,1,4,2.25,3.9,2,4.67,3.5,0,96,0
1596,0,1,5,8,42,4,4,2,1,1,4,0,4,0,23.201,71,2.4,0.16,3.5,0,1,5,1,1,9,1,1.5,2.6,4,2,1,9,3,1,4,3,2,2,2,2,2,1,1,6,3,5,5,3,1,4,1.25,3.3,1.67,4,2.77,0,96,0
1598,0,1,5,7,50,5,4,3,1,1,5,0,4,0,26.957,54,3.9,0.34,4,0,1,5,2,2,5,2,1,4,4,3,1,9,3,1,4,3,2,2,2,2,2,2,1,5,3,4,4,4,1,4,1.25,3.7,1.67,5,3.31,0,94.8,0
1602,0,1,6,7,44,5,4,1,1,1,5,0,4,0,24.303,54,2.5,0.61,3.75,0,1,5,1,4,5,2,1.25,3.5,3,3,1,9,3,1,5,3,2,2,1,1,2,1,1,5,1,5,5,6,1,3.5,2,3.6,1.33,3.33,2.9,0,94.8,0
1604,1,1,6,8,57,3,4,3,1,1,4,0,4,0,30.29,55,3.9,0.18,4,0,1,8,2,1,7,2,1.75,3.8,5,4,2,9,3,1,4,2,2,2,1,2,2,2,1,8,3,5,4,4,1,4,2,3.7,2.33,4.67,4.75,0,95.5,0
1620,1,1,3,8,50,5,4,2,1,1,5,0,4,0,26.637,19,2.83,0.78,3.75,0,5,3,2,2,5,2,1.75,3,5,5,4,3,3,5,2,1,1,1,2,2,2,2,1,8,3,4,5,3,3,3.25,1.75,3.7,2.33,4.33,2.29,0,90.2,0
1621,1,1,5,8,64,4,4,3,1,1,5,0,3.5,0,33.325,55,2.67,-0.63,4,0,5,1,1,1,7,1,1.5,3.4,5,2,1,2,2,5,1,1,2,2,2,2,2,1,1,5,2,5,4,2,1,3.75,2.5,4,1.67,4,2.15,0,90.2,0
1636,0,1,2,8,38,3,3,3,1,1,5,0,4,0,20.683,71,3.4,0.55,4,0,1,4,2,2,9,2,1,3.5,5,2,1,1,1,1,4,3,2,2,2,2,2,2,2,10,3,5,5,2,1,4,1.75,3.9,3.33,3,2.25,0,93.9,0
1638,0,0,5,7,50,5,2,2,1,1,4,0,4,0,26.662,78,3.9,0.29,4,0,1,6,2,2,10,2,2.5,2.2,5,5,1,9,1,1,6,2,2,2,2,2,2,2,1,10,4,5,5,6,1,4,1.25,3.8,2,2.67,3.92,0,94.8,0
1643,0,1,5,7,53,4,3,3,1,1,3,0,3,0,27.894,62,2.9,-1.37,3,0,5,4,2,1,6,1,1.25,2.7,4,3,1,1,1,5,3,1,1,2,1,2,2,2,1,6,2,5,5,2,1,3.5,1.5,3.4,3.33,4,3.5,0,92.6,0
1652,0,1,3,7,50,4,2,2,1,1,4,0,3,0,26.019,66,1.97,0.07,4,0,3,6,1,1,7,1,1,2.5,5,5,1,3,3,3,5,3,2,2,2,2,2,1,1,4,3,4,4,6,1,2.75,1.75,2.8,2.33,2.33,2.15,0,96,0
1653,0,1,5,8,37,4,1,3,1,1,4,0,4,0,20.691,66,2.83,-0.15,4,0,1,5,1,1,4,1,2.25,3,4,3,1,2,2,1,3,1,2,2,1,2,2,1,1,5,3,4,5,1,1,3.75,1.5,2.5,3,4.67,2.22,0,96,0
1656,0,1,6,8,51,3,1,3,1,1,5,0,4,0,27.266,78,4,0.97,3,0,1,5,1,4,10,2,1.25,3.7,5,5,2,4,4,1,4,4,2,2,1,2,2,1,2,10,4,5,5,3,1,4,1,3.9,2,5,4.08,0,95.3,0
1665,0,1,5,7,58,2,2,2,1,1,4,0,4,0,30.117,64,3.25,-0.85,4,0,1,10,2,1,12,1,1,3.5,5,2,1,1,1,1,9,4,2,2,2,2,2,2,1,10,3,5,4,2,1,4,2.25,2.8,2.33,2.33,3.75,0,94.7,0
1666,0,1,6,8,46,5,4,1,1,1,5,0,4,0,25.305,57,3.25,-0.48,4,0,1,8,2,2,6,1,1.25,4,5,2,1,2,2,1,8,2,2,2,2,2,2,2,1,6,4,5,4,1,2,4,1,4,1.67,1.33,3.56,0,96,0
1670,0,1,6,8,34,4,2,2,1,1,5,0,3,0,19.388,66,3,-0.75,3.75,0,1,8,2,2,12,1,1.75,2.1,5,3,1,2,2,1,7,4,2,2,2,1,2,2,2,10,4,5,5,2,1,3.5,2,2.4,1.33,1.33,3.73,0,96,0
1671,0,1,6,7,31,3,1,3,1,1,5,0,4,0,18.002,78,3.83,-1.11,2.75,0,1,5,2,2,10,1,1.75,2.2,4,6,1,2,2,1,5,2,2,2,1,2,2,2,2,10,4,5,5,5,1,3,1.75,3.2,1.33,3.67,4.09,0,94.7,0
1674,0,1,6,8,50,2,1,1,1,1,4,0,4,0,26.59,78,4,0.76,4,0,1,5,2,1,12,1,1,3.4,4,6,1,3,1,1,3,3,2,2,2,2,2,2,1,7,3,5,5,5,1,4,2.25,2.9,1.33,3,4.36,0,94.7,0
1675,0,1,6,8,56,4,3,3,1,1,4,0,4,0,29.786,66,4,-0.27,4,0,1,3,1,3,7,1,1.25,3.7,5,6,1,2,2,7,4,2,2,2,2,2,2,1,1,10,3,5,5,6,1,4,1.75,3,1,3.67,3.9,0,93.9,0
1677,0,1,6,8,44,4,3,1,1,1,4,0,4,0,24.18,78,4,0.73,4,0,1,5,2,1,10,1,1,2.9,5,3,1,2,2,1,5,4,2,2,1,2,2,2,1,10,3,5,5,2,1,4,1.25,3.7,3,4.33,3.83,0,96,0
1678,0,1,6,8,62,3,2,2,1,1,4,0,3,0,32.121,78,4,-0.46,4,0,1,4,2,2,10,1,1.25,2.1,5,1,1,1,1,1,4,3,2,2,1,2,2,2,1,10,4,5,5,3,1,3.5,1.25,2.4,2,3.67,4.3,0,93.3,0
1679,0,1,8,8,38,4,5,3,1,1,4,0,4,0,22.096,50,2.8,0.82,4,0,1,4,2,3,5,1,2.5,2,4,1,1,1,1,1,6,4,2,2,1,2,2,2,1,6,4,5,5,3,1,4,2.75,2.5,2,2,3.64,0,95.5,0
1686,0,1,6,8,50,4,2,2,1,1,5,0,4,0,26.93,78,4,0.05,2.25,0,1,6,1,4,10,1,1.5,3,5,5,1,4,4,1,6,2,2,2,2,2,2,1,2,10,4,5,5,5,1,3.5,1.75,3,1.33,5,4.29,0,95.5,0
1693,0,1,6,7,56,5,2,2,1,1,5,0,3.75,0,29.6345,54,3.73,-1.35,2.5,0,1,8,2,3,5,2,1.25,2.9,3,2,1,2,2,1,7,3,2,2,2,2,2,2,2,5,3,4,5,5,1,3,1.5,3.5,2.33,4,4,0,93.6,0
1696,0,1,6,6,60,2,2,3,1,1,5,0,4,0,31.233,60,2.6,-0.46,3,0,1,5,2,2,6,1,1.5,2.4,4,3,1,3,3,1,5,3,2,2,2,2,2,2,2,5,2,5,5,2,2,3,2,3,2.67,2,3.17,0,92.6,0
1699,0,1,6,8,50,5,3,3,1,1,4,0,3,0,26.918,78,4,-1.1,3,0,1,4,2,2,10,2,1,3.7,5,5,1,2,2,1,8,3,2,2,2,2,2,2,2,5,4,4,5,5,1,3,1.25,3.5,1.67,4.67,3.42,0,94.8,0
1701,0,1,5,8,51,3,2,2,1,1,4,0,4,0,27.072,45,3.6,0.99,4,0,1,6,2,1,13,1,1.75,2.5,5,4,2,2,2,1,6,4,2,2,2,2,2,2,1,6,4,4,5,6,2,4,1.25,3,1.33,1.67,2.55,0,93.3,0
1702,0,1,8,8,66,4,3,2,1,1,5,0,4,0,34.758,78,3.75,1.27,4,0,1,3,1,1,8,1,1,3.8,5,3,1,2,2,1,3,3,2,2,1,2,2,1,1,10,4,5,5,3,1,4,1,4,1,4.33,4,0,94.2,0
1704,0,1,6,8,51,3,3,2,1,1,3,0,3,0,27.125,64,3.73,-0.62,3,0,1,4,2,4,12,1,1.5,3.1,4,4,1,2,2,1,4,3,2,2,1,2,2,2,2,10,3,5,1,5,1,3,1.75,2.8,3.33,5,3.67,0,93.9,0
1708,0,1,6,7,50,4,4,3,1,1,5,0,4,0,27.071,55,2.58,0.26,4,0,1,4,1,2,7,1,1,3.9,5,2,1,1,1,1,4,3,2,2,1,2,2,1,1,10,4,5,5,3,1,4,1,3.3,1.33,3.33,3.38,0,94.8,0
1710,0,1,3,7,33,4,4,3,1,1,4,0,4,0,18.639,49,2.9,0.25,4,0,3,2,1,1,12,1,1.75,3.7,5,1,1,2,3,1,5,3,2,2,2,2,2,1,1,10,4,4,4,2,1,4,1,4,3,4,2.9,0,96,0
1719,0,1,6,8,66,4,3,2,1,1,5,0,3,0,34.164,71,3.92,-0.83,3,0,1,7,1,4,3,1,1.5,3.4,5,2,1,1,1,1,3,3,2,2,1,2,2,1,2,7,2,5,4,2,2,3,1,3,2,2.33,4.17,0,92.6,0
1723,0,0,5,8,43,2,2,3,0,1,5,1,4,1,23,78,3.6,-0.75,3,0,1,7,1,2,13,2,1.75,2.7,5,3,1,2,2,1,8,3,2,2,2,2,2,1,2,5,2,5,1,4,1,3,1,3.3,2.67,4.67,3.36,0,94.2,0
1725,0,1,3,8,43,5,5,2,1,1,4,0,4,0,23.436,52,2.8,-0.1,3.5,0,1,6,1,2,4,2,1.25,3.8,2,2,1,2,2,1,4,2,2,2,2,2,2,1,1,4,4,4,4,2,1,4,1,3.9,2,4.67,2.67,0,96,0
1727,0,1,5,8,50,4,4,3,1,1,5,0,4,1,27.004,71,3.18,-0.89,4,0,1,8,2,3,9,2,1.25,3.8,5,4,1,2,2,1,9,3,2,2,2,2,2,2,2,8,4,5,5,3,1,4,2,3.4,1.67,4,3,0,95.5,0
1728,0,1,2,7,30,3,3,2,1,1,2,0,1.5,0,16.278,62,1.64,-0.75,2,0,1,10,1,4,8,1,2.25,2.6,4,5,1,2,2,1,9,4,2,1,2,2,2,1,2,2,4,3,3,4,2,2.25,2,3,2.67,3.33,2.36,0,92.6,0
1729,0,1,5,8,58,5,4,3,1,1,5,0,4,0,30.713,60,3.1,-0.17,4,0,3,3,1,2,6,1,1.5,3.9,4,2,1,2,2,1,2,4,2,2,2,2,2,1,2,9,3,5,5,1,1,4,2.25,3.5,2.33,3.33,3.55,0,96,0
1732,0,1,6,8,18,4,3,2,1,1,5,0,4,0,12.33,78,4,0.48,4,0,1,3,1,1,10,1,2.25,3.1,5,3,1,2,2,1,3,3,2,2,2,2,2,1,1,10,1,5,5,5,1,4,1.75,3.2,2,2,4.29,0,94.7,0
1733,0,1,6,8,50,4,2,1,1,1,5,0,4,0,26.881,78,4,1.77,4,0,1,3,1,2,10,1,1.25,3.6,5,2,1,2,2,1,3,2,2,2,2,2,2,1,2,10,4,5,5,4,1,4,2.75,2.7,2,2.33,4.8,0,94.7,0
1734,0,1,6,8,42,4,4,3,1,1,4,0,4,0,23.448,78,3,0.78,4,0,1,8,2,2,10,1,2,3,5,2,2,2,2,1,8,2,2,2,1,2,2,2,1,10,4,4,4,2,1,4,1.5,4,1.67,4,3.83,0,96,0
1736,0,1,6,8,50,5,4,1,1,1,5,0,4,1,27.188,78,4,1.3,4,0,1,4,2,1,10,1,1.5,3.1,5,4,1,2,2,1,2,2,2,2,2,2,2,2,1,10,4,5,5,6,1,4,1,2.2,1.67,4.33,4.29,0,96,0
1737,0,1,6,7,30,2,2,3,1,1,5,0,4,0,17.547,54,2.9,-0.22,4,0,1,3,2,1,5,2,1,4,3,4,1,2,2,1,3,3,2,2,2,2,2,2,1,10,2,4,5,5,1,4,1,3.7,1.67,3.67,3.7,0,94.1,0
1739,0,1,6,8,57,5,4,3,1,1,4,0,4,0,30.417,71,4,-0.37,4,0,1,7,2,2,9,1,1.75,3.5,5,4,1,2,2,1,7,3,2,2,2,2,2,2,2,14,4,5,5,5,1,4,1.75,3.6,1.67,3,4.6,0,93.3,0
1741,0,1,6,8,50,2,4,2,1,1,3,0,4,0,26.868,78,0.4,-0.19,4,0,1,5,2,2,10,1,1.75,3.5,5,4,2,2,2,1,5,4,2,2,1,2,2,2,1,10,3,5,4,6,1,4,2.25,2.7,2,3,3.5,0,94.8,0
1748,0,0,1,8,21,3,3,3,1,1,4,0,3.75,0,12.5625,78,2.24,-1.66,2.5,0,1,5,1,3,10,2,2,3,5,1,1,1,1,1,5,3,2,2,2,2,2,1,2,7,2,4,4,4,3,3.25,1,2.8,2.33,3.33,1.9,0,96,0
1763,0,1,5,7,50,4,3,1,1,1,3,0,3.75,1,26.6145,40,2.7,-0.62,3.5,0,1,3,1,2,12,1,1.75,3.5,4,2,2,2,2,1,4,2,2,2,2,2,2,1,1,6,3,4,5,2,2,3.75,2,3.1,2,2,2.18,0,93.9,0
1772,1,1,6,7,20,3,1,2,1,1,4,0,3,0,12.712,71,3.4,-0.2,3,0,1,5,1,3,9,1,1,3.7,2,4,1,2,2,1,4,3,2,2,1,2,2,1,1,10,3,4,5,4,2,2.5,2,3.2,3,4.33,3.71,0,94.7,0
