"caseId","Present living situation-1995","number people living w/respondent-1995","Economic situation/3 year ago-1995","Parent divorced/separated past year-1995","Parent re/married past year-1995","Parent lost job/past year-1995","Respondent ill/disabled past year-1995","Parent died past year-1995","Respondent sex-1995","Respodent US Citizenship-1995","Respondent job classification-1995","Don't feel save at school-1995","attainable education level-1995","Paren education preference-1995","Respondent hour studying-1995","Good grade importance-1995","English Knowledge-1995","Depression-1995","Self-esteem-1995","Familism index-1995","Family cohesion-1995","GPA-1995","Dropped out by 1995","Percent daily school attendance-1995","Private school-1995","desired.job.prestige.score-1991","GPA","Parent.SES.index-1991","English.Knowledge-1991","Private.school-1991","Houshold.guardians-1991","number.household.members-1991","Sex","Respondent.US.stay.length-1991","Respondent job preference-1991","felt discriminated-1991","Depression-1991","Self-esteem-1991","education expectation-1991","Hours/day on HW-1991","Good grades importance-1991","Reason Dad came to US","Reason Mom came to US"
2,1,3,1,2,2,2,2,2,2,1,11,2,4,5,2,1,3.5,1.5,3.3,1.33,4.67,0.58,0,92.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,2,3,2,2,2,1,2,1,1,11,1,5,2,4,2,4,1,3.6,2,1.67,1,0,90.2,0,65,1,-1.24,4,0,5,2,1,1,12,2,1,3,4,2,1,2,2
5,1,3,4,2,2,2,2,2,1,2,8,4,5,5,2,3,4,1.25,4,1.33,3.67,3.83,0,92.5,0,76,3.83,0.13,4,0,1,3,1,3,10,1,2.25,4,5,2,1,6,3
6,5,2,3,1,1,2,2,2,2,1,5,1,4,5,2,1,4,1.75,3.2,1,3.33,1.28,0,92.7,0,78,1,0.29,4,0,5,2,2,1,10,1,1,3.6,3,1,3,2,2
8,1,5,1,2,2,2,2,2,2,1,8,3,4,5,2,2,3,1,4,1.67,2,2.37,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,3,2,1,2,2,2,1,2,1,1,6,1,2,5,1,4,4,3.25,4,2.67,3,0.56,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,4,2,2,2,2,2,2,2,2,9,3,5,5,3,1,4,1.5,3.5,1.33,3.33,3.19,0,91.3,0,60,3.75,0.99,4,0,1,4,2,2,3,2,1.25,3.7,4,4,1,1,1
12,5,3,3,2,2,2,2,2,2,1,6,3,5,5,4,1,4,1.25,3.3,2,3.33,4.17,0,90.2,0,71,4,1.47,4,0,5,3,2,1,9,2,1.5,3.4,5,6,1,1,1
13,4,1,3,1,2,1,1,2,1,2,4,2,5,2,2,1,4,2.25,3.6,1.67,1.67,2.01,0,92.5,0,78,2.25,0.17,3.5,0,1,3,1,2,9,2,1.25,3.3,5,1,1,1,1
16,1,2,3,2,2,2,2,2,2,1,8,4,4,5,6,1,4,1.5,3.7,1.67,2.67,2.42,0,92.5,0,67,2.42,0.49,4,0,1,2,2,1,5,2,1.5,3.3,4,2,1,2,1
17,1,5,3,2,2,2,2,2,2,2,8,4,5,5,1,2,4,1.5,4,1.67,4,3.13,0,91.3,0,78,3,-0.17,4,0,1,6,2,3,10,2,1.25,3.7,5,2,2,2,2
19,1,4,2,2,2,1,2,2,2,2,11,4,5,5,3,1,4,1.75,3.8,1,3.33,3.25,0,92.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,3,3,2,2,2,1,2,1,1,7,3,4,4,2,2,3.75,2,2.5,2.33,4.33,2.08,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,3,4,2,2,1,2,2,1,1,11,3,4,4,2,2,4,1,4,2.33,5,1.5,0,92.5,0,48,1.5,0.81,4,0,1,4,1,2,13,1,1.25,4,3,2,1,2,2
26,1,2,2,2,2,2,2,2,1,2,6,3,4,4,1,2,4,1.5,3.5,2.33,5,1.63,0,92.5,0,71,1.63,-0.01,4,0,1,3,1,2,9,1,1.75,3.3,3,1,2,1,1
27,3,4,2,2,1,2,2,2,1,1,8,2,5,5,1,1,4,1,4,1.67,4.67,1.74,0,92.5,0,48,1,0.23,4,0,3,5,1,1,14,1,1.25,3.7,5,1,1,3,3
28,1,4,2,2,2,2,2,2,2,1,6,3,5,5,3,1,4,1.25,4,1.33,4.67,2.83,0,92.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,4,3,2,2,2,2,2,1,1,7,2,5,5,4,1,4,1.25,3.9,2,2.67,3,0,94.3,0,66,3,1.09,4,0,1,1,1,1,7,2,1,3.9,5,2,1,2,2
30,10,9,2,2,2,2,2,2,1,1,4,4,4,4,3,3,4,1,3.7,1.67,2.67,2,0,92.5,0,47,2,0.97,4,0,5,6,1,1,11,2,1.5,4,4,2,3,2,2
32,1,4,2,2,2,2,2,2,2,1,8,4,5,5,4,1,4,1.25,4,1.67,4.67,3.68,0,91.6,0,62,3.33,-0.11,4,0,1,4,2,1,8,1,2,3.7,4,2,1,1,1
33,5,3,3,2,2,2,2,2,2,1,9,4,5,5,6,1,4,1.25,4,1.33,5,3.06,0,92.5,0,71,3.67,-0.44,4,0,5,3,2,3,9,1,1.25,3.7,5,3,1,2,2
36,3,3,1,2,2,2,2,2,1,1,6,4,4,5,2,2,3.5,1.5,3.9,1.33,2.67,2.29,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,2,1,2,2,2,2,2,1,1,7,4,5,5,2,1,3.75,1.5,3.6,1.33,4,1.6,0,92.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1,3,2,2,2,2,2,2,2,1,3,4,5,5,2,1,4,1,3.9,1.67,5,2.78,0,92.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1,5,3,2,2,1,2,2,2,1,11,4,4,4,6,1,3,1.75,3.8,1,5,1.58,0,92.5,0,57,1.58,-0.44,3,0,1,4,2,2,13,2,1.25,3.3,4,3,1,2,2
46,5,5,3,1,1,1,2,2,2,1,10,3,5,5,3,2,3.5,1,2.7,2,2,2.83,0,92.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,5,4,2,2,2,1,2,2,1,1,8,1,5,4,2,2,4,2,3.9,1.33,5,1.75,0,92.5,0,72,1.75,0.3,4,0,3,4,1,1,14,1,1,4,5,2,1,2,2
51,1,2,2,2,2,2,2,2,1,1,8,3,5,4,2,2,4,1.25,3.7,1.33,3,1.86,0,92.5,0,72,1.86,1.01,3.25,0,1,2,1,3,7,2,1,4,5,2,2,2,2
52,1,4,2,2,2,1,2,2,2,1,11,4,3,5,2,1,3.25,1.75,2.4,1.67,3,1.39,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,5,4,3,2,1,2,2,2,2,1,7,4,5,5,2,1,3.5,1.25,3.8,1.33,4,3.1,1,92.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,5,1,2,1,2,2,2,2,2,1,8,2,4,5,1,2,4,1,3.8,2.33,4,1.6,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,1,3,2,2,2,2,2,2,1,1,5,2,4,4,2,1,4,2.25,3.9,1.67,4,2.85,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1,3,1,2,2,2,2,2,1,1,11,3,4,4,1,1,4,1,3.4,2.33,3.33,0.9,0,92.9,0,51,2.33,0.91,4,0,1,4,1,1,4,2,1,3,4,5,1,1,6
60,5,1,3,2,2,1,2,1,1,2,11,4,4,4,1,2,4,1,3.7,1.33,4.33,1.73,1,90.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,1,3,2,2,2,2,2,2,1,1,6,2,5,5,1,2,4,1.75,3.9,1.33,4.33,2.43,0,94.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,3,2,2,2,2,2,2,2,2,1,6,4,5,4,1,1,4,1,4,2.33,4,2.45,0,88.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,1,4,2,2,2,2,2,2,2,1,8,3,5,5,2,1,4,1,3.9,1.67,4,2.42,0,90.2,0,66,2.42,-0.15,4,0,1,4,2,1,5,1,1,3.7,5,1,1,2,2
65,1,3,2,2,2,2,2,2,2,1,6,4,5,5,1,2,4,1.25,3.2,1.33,3,3.67,0,94.3,0,71,3.67,0.43,4,0,1,3,2,1,9,1,1.75,2.5,5,1,1,3,6
66,1,3,3,2,2,1,2,2,1,1,8,4,4,5,1,4,4,2,3.5,1,1.67,1.83,0,92.5,0,78,1.83,-0.5,4,0,1,3,1,1,10,2,1.25,3.1,4,2,3,1,3
68,1,7,3,2,2,1,2,2,1,1,6,4,5,5,5,4,4,1,4,2.33,2.67,3.08,0,88.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,7,4,3,2,2,1,2,2,1,1,8,3,4,2,2,2,3.25,2.5,3,1,2.33,1.87,0,91,0,48,2.33,-0.63,3.5,0,7,2,1,1,13,1,3,2.4,4,1,2,2,3
73,1,5,1,2,2,2,2,2,2,1,5,3,5,5,2,1,3.75,1,3.8,1.67,3.67,2.64,0,92.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,1,6,2,2,2,1,2,2,2,1,10,3,3,5,2,2,4,2.25,3.7,1.67,3.33,2.36,0,93,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,1,3,2,2,2,2,2,2,1,2,6,2,2,5,1,3,3.75,1.5,4,1,2,2.17,0,88.9,0,48,2.17,-0.27,4,0,1,3,1,2,13,2,1.5,3,3,1,2,1,1
78,1,3,3,2,2,1,2,2,2,2,5,4,4,4,3,1,4,1.5,4,2,5,2.83,0,92.5,0,52,2.83,0.24,4,0,1,3,2,2,5,2,2,3.2,4,3,1,2,2
79,1,6,3,2,2,1,2,2,2,2,10,3,4,5,5,2,4,2,3.7,1.33,4.67,1.9,0,92.1,0,71,3,-1.27,4,0,1,4,2,3,9,1,1.25,4,4,3,1,3,3
84,5,1,4,1,1,1,2,2,2,2,8,4,5,5,3,1,3.75,2,3,1.67,3.33,2.67,0,90.2,0,66,2.67,-1.01,3.5,0,5,1,2,2,12,2,1.25,3.6,4,5,1,2,2
85,1,2,3,2,2,2,2,2,2,1,9,2,5,4,3,1,4,1.75,4,1,2,2,0,90.2,0,71,2,-0.3,4,0,1,2,2,1,9,2,1.5,4,5,5,1,2,2
86,6,2,1,2,1,2,2,2,2,1,10,3,5,5,3,1,4,1,3.8,2,4.33,2.06,0,88.5,0,48,2,-1.01,3.5,0,3,2,2,2,2,2,2,2.9,2,1,3,1,1
87,10,5,3,1,2,1,2,2,1,1,4,4,4,5,2,1,3.75,1.75,3.3,1.67,2.67,1.33,0,95.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,1,3,3,2,2,2,2,2,1,1,9,3,5,5,3,1,4,1,4,2.33,4.67,2.64,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,1,3,2,2,2,2,2,2,2,1,9,3,5,5,5,1,4,1.75,3.6,2,3.33,4.72,1,92.9,0,78,4.17,-0.16,4,0,1,3,2,3,10,1,1.75,3.1,4,4,1,4,3
91,5,3,3,1,1,2,2,2,2,1,8,2,4,5,2,1,3.25,1.25,3.8,1.67,3.33,2.83,0,88.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,1,4,2,2,2,2,2,2,2,1,10,1,4,5,5,1,4,1.5,3.4,1.67,3,3.92,0,92.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,1,3,3,2,2,2,2,2,2,1,10,2,4,5,1,2,4,1.75,3.4,2,3,2.43,0,92.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,6,1,1,2,2,1,2,2,1,1,7,1,5,4,3,1,4,1.25,2.8,2,5,2.42,0,92.5,0,65,2.42,0.06,4,0,5,2,1,2,7,1,1.5,3.3,5,3,1,1,7
102,1,3,3,2,2,2,1,2,1,1,7,2,5,5,1,1,4,1,3.9,2.33,4.33,1.62,0,88.9,0,55,0.67,0.45,4,0,1,3,1,1,7,2,1.25,3.9,2,1,4,2,2
103,1,4,4,2,2,1,2,2,2,1,10,3,5,4,3,1,4,1,3.8,2.67,3,1.67,0,88.3,0,78,3.08,-0.31,4,0,1,5,2,1,10,1,1.75,3.1,5,5,1,1,3
104,1,5,3,2,2,1,2,2,1,1,10,3,5,5,6,2,4,2.75,3.9,2,4,0.83,0,88.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,5,4,3,2,2,1,2,2,2,1,10,4,4,5,4,1,3.75,1,3.1,1,1,2.33,0,92.5,0,78,2.33,-0.94,4,0,5,4,2,1,10,1,2,3.9,4,2,1,1,1
108,5,2,4,2,2,2,2,2,1,2,3,2,4,5,4,1,3,1.75,3.5,2.33,4.67,3.63,0,95.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,5,3,2,2,1,2,2,2,1,1,11,4,5,4,2,2,4,1.25,4,1.67,4.67,2.5,0,94.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,5,2,4,2,2,2,2,1,1,1,14,3,4,5,3,1,4,1.5,3.2,1.33,4.67,2,0,94.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,1,3,3,2,2,1,2,2,2,1,10,2,5,5,4,2,4,2.5,3.2,1,4.67,3.06,0,92.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,3,4,2,2,2,1,2,2,1,1,11,3,4,5,3,1,4,1.75,3.6,1.33,2.33,0.14,0,94.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,1,4,2,2,2,2,2,2,2,2,5,4,5,5,1,2,4,1.5,4,1.33,5,2.33,0,92.5,0,66,2.33,-0.51,3.5,0,1,4,2,3,12,2,1.25,2.8,5,2,1,1,1
118,3,4,3,2,2,1,2,2,2,1,11,4,5,5,1,3,4,2.75,3.8,1.33,3.67,1.76,0,92.5,0,71,1.58,1.22,4,0,3,4,2,1,9,1,1.5,3,2,1,3,2,1
119,3,6,1,1,2,2,2,2,1,1,4,4,5,3,2,2,4,1.5,3.6,2.33,3.67,1.25,1,92.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,1,10,2,2,2,2,2,2,2,1,8,3,5,5,1,2,4,2.75,3.5,1.33,4.67,1.92,0,92.5,0,78,1.92,0.27,4,0,1,8,2,2,10,1,2.25,3.5,5,2,1,3,3
122,1,3,3,2,2,2,2,2,1,1,5,4,4,3,4,1,3.75,1.5,2.7,2,4,2.32,0,92.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,1,6,3,2,2,2,2,2,2,1,10,2,5,5,4,1,4,2,3.8,1,4,0.92,0,92.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,1,3,5,2,2,1,2,2,2,1,8,3,4,5,4,1,4,2,3.1,1.67,3.67,2.29,0,94.3,0,78,2.5,0.89,4,0,1,3,2,1,10,2,1,3.7,5,2,2,5,5
130,1,4,2,2,2,2,2,2,1,1,10,4,5,5,6,1,3.5,2,3.5,2,4.67,3.93,0,96,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,1,5,3,2,2,2,2,2,2,1,9,4,4,5,1,3,3.5,1.75,1.8,1.33,2.33,2.33,0,92.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,1,8,3,2,2,2,2,2,2,2,6,3,5,5,5,1,4,1,3.3,2,3.33,3.31,0,92.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,10,3,3,2,2,2,2,1,2,1,11,4,5,5,3,1,4,2,1.9,1.33,4,2.99,0,92.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,3,3,2,2,2,1,1,2,2,2,11,4,5,5,3,2,4,2.25,3.7,1,5,2.01,0,91.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,1,4,3,2,2,2,2,2,2,1,6,3,5,5,5,1,4,1.25,3.7,2,3,3,0,88.5,0,71,3,0.42,3.5,0,1,4,2,2,10,1,1,3.2,5,2,1,4,4
140,1,4,4,2,2,2,2,2,2,1,10,3,5,5,4,1,4,1.75,3.5,2,2,4,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,1,6,3,2,2,2,2,2,1,1,10,3,5,5,2,2,4,1,3.7,3,4,2.43,0,92.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,5,5,4,2,2,2,1,2,2,1,7,2,5,5,3,1,4,1.5,3.6,1,3.33,1.89,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,3,6,3,2,2,1,2,2,1,2,10,3,5,5,6,1,4,1.75,3.9,1.33,4.67,3.92,0,92.1,0,60,3.9,-0.94,3,0,3,5,1,4,10,2,1,3.8,4,6,1,1,3
146,10,2,2,2,2,2,2,2,2,1,8,3,4,4,6,2,4,3,3.6,1.33,1.67,2.17,1,92.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,1,7,4,2,2,2,2,2,1,1,4,3,4,5,1,2,4,1.75,3.5,2.33,5,1.73,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,3,4,2,2,2,1,2,2,1,1,9,3,4,4,2,2,4,1.25,3.6,2.33,2,2.43,0,88.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,1,2,1,2,2,2,2,2,2,1,8,2,5,5,3,1,4,1.5,3.4,1.33,3,2.92,1,90.2,0,62,3.33,0.11,4,0,1,5,2,2,8,1,1,3.5,5,2,1,1,1
150,1,4,2,1,2,2,2,2,2,2,11,3,5,5,2,1,4,1.25,3.7,1.67,3,4,0,92.8,0,66,4,0.93,3.75,0,1,4,2,3,10,1,1,3.9,5,3,1,1,1
151,3,4,2,2,1,1,2,2,2,2,6,2,5,5,4,1,4,1.5,3.7,3,3.67,2.86,0,91.3,0,71,2.67,-0.54,4,0,3,3,2,3,9,2,1.5,3.9,5,1,2,1,1
153,1,3,1,2,2,2,2,2,2,1,11,4,4,5,2,2,3.25,1.25,2.5,2.33,3,1.81,0,92.9,0,55,1,0.17,3,0,1,7,2,2,4,2,2,2.5,4,1,3,5,2
154,3,6,2,2,1,2,2,2,2,2,10,3,4,5,1,3,4,1.5,2.9,1.33,2,1.01,0,90.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,1,5,1,2,2,2,1,2,2,2,10,4,5,5,6,2,4,1.25,3.1,1,3.33,3.17,0,92.5,0,65,3.17,-0.1,4,0,1,3,2,3,7,1,1.75,3.8,5,2,1,1,1
158,1,5,3,2,2,2,2,2,2,1,11,3,2,4,1,1,4,3,2.9,2,1,2.5,0,90.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,1,5,2,2,2,1,2,2,2,2,8,2,5,5,4,2,2.75,1.5,2.7,2.33,3.67,3.5,0,92.6,0,54,3.7,-0.81,3,0,1,5,2,3,5,1,2,2.6,4,2,1,1,1
163,1,2,2,2,2,2,1,2,2,1,10,3,5,5,2,1,4,2,3.4,1,3,2.2,0,92.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,1,1,3,2,2,2,2,2,2,1,3,4,3,5,2,1,4,1.75,2.8,4,4,0.22,0,92.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,1,5,4,2,2,2,2,2,2,1,5,4,5,5,6,1,4,1,4,2,2.67,3.21,0,92.8,0,72,4,0.58,4,0,1,5,2,1,12,2,1.25,3.2,5,6,1,4,4
166,1,3,4,2,2,2,2,2,2,1,8,2,5,5,6,1,4,3,2.1,1,2.67,3.78,0,94.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,1,3,2,2,2,2,2,2,1,2,5,3,4,5,1,1,3,1.25,3.7,2.33,4.33,2.26,0,91.3,0,48,2,0.31,3.25,0,1,3,1,2,13,1,1,3.2,4,3,1,2,2
169,5,4,4,2,2,2,2,2,2,1,7,3,4,5,3,2,4,1,4,1.33,3.33,3.38,0,92.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,8,1,4,2,2,1,2,2,2,2,2,4,2,2,6,1,4,1.25,3.7,1,4.33,3.58,1,88.9,0,57,3.58,-0.21,4,0,1,4,2,3,1,1,1,3.5,2,2,1,1,3
171,1,3,3,2,2,2,2,2,2,2,9,4,4,4,3,1,4,1,4,2,4.67,2.92,1,91.6,0,53,2.67,-0.18,3,0,1,3,2,2,6,2,1.5,3.1,3,1,1,2,2
172,1,3,3,2,2,2,2,2,2,2,2,1,3,4,1,2,3.75,2.25,3.2,2.33,4.33,2.5,0,90.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,5,4,2,1,2,1,1,2,2,1,3,2,3,3,1,2,4,1,3.8,2,4,2.85,0,92.6,0,53,3.2,-0.63,4,0,5,6,2,1,2,1,1,4,3,1,1,1,3
175,1,3,3,2,2,1,2,2,2,2,11,4,4,4,1,2,3.5,2,2.6,1.33,3.33,0.63,0,90.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,1,6,1,2,2,2,2,2,2,1,8,1,4,4,6,2,4,4,2.7,1.33,2,2.36,0,90.2,0,53,1.42,0.13,4,0,1,5,2,1,2,1,3,2.8,4,2,1,4,4
178,1,3,2,2,2,2,2,2,2,2,9,3,4,4,3,1,4,1,3.9,2,4,2.33,0,90.2,0,51,2.33,-0.2,4,0,1,3,2,3,4,2,1,4,4,3,1,1,1
181,1,6,2,2,2,2,2,2,2,1,9,2,5,5,3,1,4,1,3.9,1.67,5,2.36,0,90.2,0,51,3.17,0.12,4,0,1,6,2,3,4,2,1.75,3.6,5,3,1,3,3
182,3,3,1,2,2,2,2,2,2,1,6,3,4,4,2,1,4,1.75,3.1,4,5,2.78,0,92.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,1,7,3,2,2,2,2,2,2,2,8,4,4,5,2,2,4,1,4,1.67,4.33,3.71,0,93.3,0,62,3,-1.34,4,0,1,7,2,3,8,2,1,4,5,1,1,1,1
184,1,3,3,2,2,2,1,2,2,1,7,3,4,4,5,1,4,2.5,2.3,1.33,4.33,3.33,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,1,3,2,2,2,2,2,2,1,2,7,3,4,4,1,3,3.75,1.25,4,2,3,2.83,0,90.2,0,66,2.83,0.08,4,0,1,3,1,2,7,2,1.5,3.5,4,1,2,2,2
191,8,4,3,2,2,2,2,2,2,2,6,2,2,3,5,2,3.75,1,3.6,2,4.33,0.67,0,88.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,1,5,3,2,2,1,2,2,2,2,4,4,4,4,1,2,4,1.5,3.9,2,4.33,1.6,0,94.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,1,6,2,2,2,2,2,2,2,1,9,3,4,5,1,1,4,2.25,3.1,1.67,2.67,2.5,0,90.2,0,62,2.5,-1.32,4,0,1,6,2,1,8,1,1.5,3.7,5,3,1,1,1
196,1,2,1,2,2,2,2,2,1,1,4,3,3,3,1,2,3.25,1,3.9,2.33,4.33,1.25,0,91.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,1,4,4,2,2,1,2,2,2,2,4,3,3,4,2,1,3,1,3.8,1.67,3,3.67,0,92.5,0,58,3.67,-0.34,3,0,1,7,2,3,4,1,1,3.7,2,5,1,1,1
199,5,3,3,1,2,2,2,2,2,1,5,3,3,5,4,1,4,1.25,3.78,3,3.67,2.5,0,90.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1,5,3,2,2,2,2,2,1,2,10,3,4,5,3,1,4,1.5,3.5,2.67,4,3.9,0,94.8,0,55,3.4,0.36,4,0,1,4,1,2,7,1,1,4,5,4,1,9,9
201,1,4,4,2,2,2,2,2,2,2,6,4,5,5,5,1,4,1.25,3.1,2.67,3.33,3.09,0,96,0,50,4,0,3.25,0,1,7,2,4,12,2,1,3.5,5,4,1,3,3
202,1,7,2,2,2,2,2,2,2,1,5,4,5,5,3,1,3.25,1.25,3.7,2.67,5,3.38,0,96,0,54,2.86,0.38,2.75,0,1,5,2,4,5,2,1.75,3.67,5,2,1,1,1
204,1,3,1,2,2,2,2,2,2,1,6,3,4,4,2,2,4,2.25,3.3,1.67,2,0.56,0,94.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,3,5,2,2,2,1,2,2,1,2,11,3,4,5,1,1,3.75,1.75,4,2,4.67,1.17,0,92.5,0,71,1.17,0.3,3.75,0,3,4,1,3,9,1,1.5,3.9,5,1,1,1,1
206,5,8,5,2,2,1,2,2,2,1,10,4,5,5,3,1,4,2,3.5,1.67,2.33,4,0,96,0,78,3.27,0.29,4,0,6,5,2,1,10,1,1.5,3.1,5,3,2,2,2
