"caseId","Present living situation-1995","number people living w/respondent-1995","Economic situation/3 year ago-1995","Parent divorced/separated past year-1995","Parent re/married past year-1995","Parent lost job/past year-1995","Respondent ill/disabled past year-1995","Parent died past year-1995","Respondent sex-1995","Respodent US Citizenship-1995","Respondent job classification-1995","Don't feel save at school-1995","attainable education level-1995","Paren education preference-1995","Respondent hour studying-1995","Good grade importance-1995","English Knowledge-1995","Depression-1995","Self-esteem-1995","Familism index-1995","Family cohesion-1995","GPA-1995","Dropped out by 1995","Percent daily school attendance-1995","Private school-1995","desired.job.prestige.score-1991","GPA","Parent.SES.index-1991","English.Knowledge-1991","Private.school-1991","Houshold.guardians-1991","number.household.members-1991","Sex","Respondent.US.stay.length-1991","Respondent job preference-1991","felt discriminated-1991","Depression-1991","Self-esteem-1991","education expectation-1991","Hours/day on HW-1991","Good grades importance-1991","Reason Dad came to US","Reason Mom came to US"
1385,1,2,3,1,2,1,2,2,2,1,6,4,4,5,6,1,4,1.25,4,2.33,3,2.57,0,91.6,0,71,3,-0.48,3.75,0,1,2,2,1,9,1,1.25,3.8,4,2,1,2,2
1387,3,5,3,2,2,2,2,2,2,1,5,2,5,5,1,1,4,1.25,4,2,4,2.62,0,88.5,0,78,2.5,-0.55,3.75,0,3,6,2,1,10,2,1.5,3.4,5,1,1,2,3
1388,1,4,2,2,2,2,2,2,1,2,11,4,5,5,3,1,4,2.5,3.4,2.67,2.33,1.81,0,91.3,0,45,2.5,0.08,3.75,0,1,4,1,2,13,1,1,3.6,5,2,3,2,2
1389,1,4,3,2,2,2,2,2,2,1,10,4,5,5,4,2,4,2.25,3.5,2,4,2.17,0,92.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1390,1,4,2,2,2,2,2,2,1,1,5,4,4,5,2,1,4,1,3.5,1,4.33,3.17,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391,1,5,4,2,2,1,2,2,2,1,10,3,5,5,2,2,4,2.5,3.3,3.33,2,3.1,0,92.5,0,53,2.5,-0.38,3.5,0,1,4,2,2,2,1,1.75,2.4,4,1,1,2,2
1393,1,3,2,2,2,2,2,2,1,2,6,2,3,5,1,2,4,1.5,3.4,1.67,1,2.02,0,88.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1394,1,7,1,2,2,2,2,2,1,2,7,2,5,5,4,1,3.25,1,3.8,1.33,4.67,3.25,0,88.5,0,65,3.25,-0.68,3,0,1,7,1,3,7,2,1,3.5,5,2,1,9,3
1395,5,3,3,2,2,2,2,2,2,1,8,4,4,4,3,2,4,1.25,3.3,2,4,2.92,0,88.5,0,54,2.92,-0.72,4,0,5,4,2,1,5,2,1,4,4,1,2,2,2
1397,1,4,3,2,2,1,2,2,1,1,11,3,4,4,1,4,4,2.75,3,1.67,3,1.92,0,91.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1398,1,3,2,2,2,2,2,2,1,1,4,3,5,5,2,1,4,2,3.4,1.33,4.67,2.22,1,91.3,0,48,2.5,0.33,4,0,1,3,1,1,14,2,1.25,3.7,4,2,1,2,2
1399,1,2,1,2,2,2,1,2,2,1,11,4,5,5,2,1,4,1,4,1.33,4.67,2.15,0,92.5,0,78,2.75,-0.31,4,0,1,2,2,1,12,2,1,3.7,5,2,1,1,3
1401,1,4,2,2,2,2,2,2,2,1,10,2,5,4,6,1,4,1.75,3.9,1.33,4.33,3.26,0,92.5,0,78,3.33,0.32,4,0,1,4,2,1,10,2,1,3.7,5,1,2,2,2
1402,1,4,2,2,2,2,2,2,1,1,7,3,5,5,2,1,4,1.25,4,2,4.67,2.64,0,91,0,56,2.33,0.24,4,0,1,4,1,1,11,1,1,4,4,1,1,1,1
1403,5,4,2,2,2,2,2,2,1,2,11,2,5,5,1,1,3.5,1.25,3.6,1.67,2,1.45,0,92.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
