"caseId","Residence Own house/aprt","Disabled or Ill","Highest education completed","Present work situation","Current job prestige scores","Current occupation satisfaction","Present income satisfaction","Respodent identity importance","Respodent detention/jail/prison","Country feels like home","Respondent health","Has Children","Average English Skill","MariageStatus","successIndex"
1917,0,1,6,8,42,3,4,3,1,1,4,0,4,0,23.364
1918,0,1,6,8,66,5,5,2,1,1,5,0,4,0,34.622
1919,0,1,6,8,62,4,2,3,1,1,4,0,4,0,32.452
1920,0,1,1,8,42,4,4,3,1,1,3,0,4,0,22.423
1921,0,1,6,8,51,4,4,2,1,1,4,0,4,0,27.53
1922,0,1,7,7,44,5,4,3,1,1,4,0,4,0,24.564
1923,0,1,3,7,55,5,4,3,1,1,3,1,4,1,28.88
1924,0,1,3,8,53,3,2,2,1,1,5,0,4,0,27.629
1925,0,1,6,8,50,4,1,3,1,1,5,0,3.5,1,26.839
1927,0,1,4,8,51,3,3,3,1,1,4,0,3.5,0,26.912
1930,0,1,3,8,34,3,2,3,1,1,4,0,4,1,18.969
1931,0,1,3,8,34,4,3,3,1,1,4,0,4,0,19.094
1932,0,1,6,8,46,4,4,2,1,1,4,0,4,0,25.235
1933,0,1,5,8,53,5,3,2,1,1,3,0,3.5,0,28.112
1934,0,1,6,8,58,4,3,2,1,1,5,0,4,0,30.69
1935,0,1,3,8,39,4,2,2,0,1,5,1,4,1,20.922
1936,0,1,3,8,39,3,3,3,1,1,3,0,4,0,21.27
1937,0,1,6,7,34,3,2,3,1,1,5,0,4,0,19.467
1941,0,1,2,8,39,1,2,1,0,1,5,1,4,1,20.423
1944,0,1,4,7,35,4,4,2,1,1,5,1,4,1,19.835
1947,0,1,5,7,23,3,3,3,1,1,5,1,4,0,14.355
1951,0,1,2,8,39,4,4,2,1,1,5,0,4,0,21.265
1952,0,1,3,8,34,4,4,2,1,1,3,1,3.5,1,19.093
1953,0,1,6,8,69,4,3,2,1,1,4,0,4,0,35.704
1954,1,1,3,8,33,4,4,3,1,1,4,0,4,0,18.764
1955,1,1,4,7,50,5,4,2,1,1,4,0,4,0,26.716
1956,1,1,4,8,31,4,1,3,1,1,4,0,4,0,17.78
1958,1,1,6,8,53,5,5,3,1,1,4,1,4,1,28.804
1959,1,1,6,8,51,3,2,2,1,1,3,0,3.5,0,27.177
1960,1,1,5,7,58,4,4,1,1,1,5,0,4,0,30.488
1961,1,1,5,7,46,4,3,3,1,1,4,0,4,0,24.955
1964,1,1,6,8,62,4,3,3,1,1,5,0,3.75,0,32.5665
1966,1,1,3,8,49,4,3,2,1,1,4,1,4,1,26.065
1968,0,1,3,8,40,5,4,1,1,1,5,0,4,1,22.004
1970,0,1,6,8,42,4,3,2,1,1,5,0,4,0,23.346
1971,0,1,3,7,36,4,1,3,1,1,4,0,3.75,0,19.7025
1973,0,1,5,8,52,5,4,3,1,1,4,0,4,0,27.924
1974,0,1,6,7,23,3,1,3,1,1,4,0,4,0,14.295
1975,0,1,6,8,42,5,3,2,1,1,4,0,4,0,23.395
1976,0,1,5,8,34,5,3,2,1,1,5,0,4,0,19.56
1978,1,1,6,3,78,2,2,3,1,1,5,1,3.75,1,39.3285
1979,1,1,4,8,34,1,3,1,1,1,4,0,4,0,18.983
1980,1,1,5,8,56,5,5,3,1,1,5,0,4,0,29.924
1981,1,1,5,7,46,1,4,1,1,1,5,0,4,0,24.728
1983,0,1,2,8,50,5,4,2,1,1,5,0,4,1,26.445
1984,0,1,3,8,37,5,4,3,1,1,5,0,4,0,20.678
1987,0,1,4,7,23,4,4,3,1,1,5,0,4,0,14.282
1989,0,1,6,7,42,5,4,3,1,1,5,0,4,0,23.483
1991,0,1,5,8,40,5,4,2,1,1,4,0,3,1,22.216
1992,0,0,3,7,39,5,1,2,1,1,4,0,4,0,21.129
1993,0,0,5,8,30,4,4,2,1,1,5,0,4,1,17.74
1994,0,1,4,8,53,4,4,3,1,1,4,0,4,0,28.101
1995,1,1,2,8,42,4,4,2,1,1,5,0,3,0,22.485
1996,0,1,5,8,35,5,4,1,1,1,5,0,4,0,20.058
1997,1,1,3,8,39,4,5,3,1,1,5,0,4,1,21.688
1998,0,1,3,8,29,4,2,2,1,1,5,1,3.75,1,16.7415
2004,0,1,3,8,50,4,4,3,1,1,5,0,4,0,26.561
2005,0,1,6,8,42,5,4,3,1,1,5,0,4,1,23.614
2007,0,1,3,8,34,3,3,3,1,1,5,0,4,1,19.092
2009,0,1,8,7,69,4,4,3,1,1,4,0,4,0,36.153
2011,0,1,3,8,42,4,3,2,1,1,4,1,4,0,22.764
2012,0,1,3,7,23,4,2,2,1,1,5,1,4,1,13.953
2026,0,1,4,7,72,4,2,3,1,1,4,0,4,0,36.562
2031,0,1,6,7,38,4,2,3,1,1,5,0,3.75,0,21.3375
